numS,sAmpMean,sAmpStd,sAmpMax,numF,fMean,fStd,fMax,backMirror,leftMirror,rightMirror,road,sky,pupilChange,pupilMean,pupilStd,SA
10,157.3019491,195.6781351,543.4710779,10,859.65,872.3756215,2782,4,0,0,6,0,0.534056302,2.658705529,0.185497634,0.397700829
15,345.2659428,310.4648147,875.3480022,15,530.7,785.3788394,3159,5,1,0,9,0,0.58097103,2.747398967,0.2267213,0.103373625
16,270.0541179,235.6234071,667.407119,16,508.9375,515.4396141,1788.5,8,0,0,8,0,0.592527365,2.925830179,0.159098186,0.106837986
14,228.0173311,233.1173358,586.5312481,14,615.6785714,684.552257,2725,5,0,0,9,0,0.62897662,2.883296846,0.205610767,0.096627604
1,274.8746351,236.6026339,652.1270505,1,1032,0,1032,0,0,0,1,0,0.15719977,2.513762851,0.075505009,0.404806638
17,331.685218,280.0681069,915.2076267,17,592.0294118,670.5996726,2711.5,4,0,1,12,0,0.969982893,2.764481913,0.223077985,0.313159624
6,310.0242966,214.6166667,526.0574612,6,424.8333333,334.3837117,1083,2,0,0,4,0,0.339257922,2.448259306,0.123441885,0.16406485
11,313.2846656,223.2914511,566.8423149,11,565.2727273,274.8215206,1184,3,0,0,8,0,0.642478015,2.634928437,0.172215849,0.076409099
1,28.82034871,0,28.82034871,1,576.5,0,576.5,0,0,0,1,0,0.452605345,2.335476971,0.157330863,0.491715767
13,233.8541488,206.8679348,595.2321921,13,399.6153846,318.7177535,1282.5,5,0,0,8,0,0.573833855,2.470419345,0.171231534,0.293717374
14,245.4212926,168.790189,546.1058528,14,327.7857143,182.6087362,816,2,0,0,5,7,0.631521475,2.720019633,0.235132749,0.239642249
4,360.0530583,253.312168,632.5349042,4,498.5,453.9326308,1139.5,2,0,0,2,0,0.661481816,2.472951329,0.193067875,0.303057655
5,262.1249897,167.9469104,449.0329721,5,426.9,328.4549817,988,2,0,0,2,1,0.508411826,2.455234771,0.169741844,0.175721087
38,245.5282466,232.3880474,641.7432528,38,489.7763158,605.427565,3633.5,15,0,2,21,0,0.455412912,2.645651705,0.187326961,0.055713852
